X;Y;Toponyme Voie;Statut Voie;Libellé Voie;Point Origine Voie;Point Extrémité Voie;N° de Délibération;Date de Délibération;Longueur Voie;Observations
986628,28;6244983,99;Cistes;Privée;Rue des Cistes;Rue des Genets;Impasse;;25/09/1989;142 m;Arrêté n° 2013/148
986534,64;6244825,09;Fougères;Privée;Rue des Fougères;Rue des Myrtes;Impasse;;25/09/1989;79 m;Arrêté n° 2013/149
986170,89;6246191,94;Frères Lumière;DPC;Rue des Frères Lumières;Avenue Saint-Maur;Rue François Arago;;25/09/1989;436 m;Arrêté n° 2013/150
986723,31;6244930,49;Genets;Privée;Rue des Genets;Chemin du Carry;Rue des Cistes;;25/09/1989;110 m;Arrêté n° 2013/151
986573,44;6244912,33;Genévriers;Privée;Rue des Genévriers;Rue des Myrtes;Impasse;;25/09/1989;75 m;Arrêté n° 2013/152
986795,88;6246109,69;Lauriers;Publique;Rue des Lauriers;Avenue de Saint-Maur;Impasse;99/102;29/07/1999;297 m;Arrêté n° 2014/923
987151,41;6245430,49;Lissiers;Publique;Rue des Lissiers;Boulevard Louis Blanc;Rue Jules Peirin;2007/117;04/12/2007;44 m;
986906,12;6245546,25;Mines;Publique;Rue des Mines;Rue Diderot;Route des Mines;2007/117;04/12/2007;452 m;
986531,44;6245843,24;Moulins;Publique;Rue des Moulins;Rue Nationale;Chemin de Radasse;;;488 m;Arrêté n° 2015/719
986628,28;6244983,99;Myrtes;Privée;Rue des Myrtes;Rue des Genets;Impasse;;25/09/1989;202 m;Arrêté n° 2013/153
987577,8;6245775,21;Pétugues;DPC;Rue des Pétugues;Avenue du Contant;Avenue de La Giscle;2006/039;14/03/2006;154 m;
986963,72;6244953,36;Romains;Privée;Rue des Romains;Avenue des Colombiers;Impasse;94/104;24/10/1994;88 m;arrêté n° 2014/926
986398,56;6246156,22;Roseaux;Publique;Rue des Roseaux;Rue des Frères Lumière;Impasse;99/102;29/07/1999;39 m;
986226,06;6245341,88;Rouves;Publique;Rue des Rouves;Chemin de Vaubelette;Impasse;96/90;30/05/1996;185 m;Arrêté n° 2012/520
987240,67;6245043,16;Vignerons;Publique;Rue des Vignerons;Avenue Sisgismond Coulet;Avenue du Subeiran;;11/02/1991;332 m;
986906,12;6245546,25;Diderot;Publique;Rue Diderot;Rue Gambetta ;Rue des Mines;;;100 m;
986676,16;6245532,2;Juge Michel;Publique;Rue du  Juge Michel;Rue des Mines;Avenue de l'Audiguier;;30/05/1983;249 m;
986948,78;6245560,38;11-nov;Publique;Rue du 11 Novembre;Rue Edgar Quinet;Place Etienne Dolet;2007/117;04/12/2007;94 m;
986993,56;6245788,58;19-mars-62;Publique;Rue du 19 Mars 1962;Montée Saint-Roch;Chemin de Radasse;;;245 m;
987046,58;6245547,99;08-mai-45;Publique;Rue du 8 mai 1945;Rue du 11 Novembre;Rue Jean Jaurès;;;75 m;
986896,55;6245624,1;Cadran;Publique;Rue du Cadran;Rue de la Placette;Rue des Moulins;;;61 m;
987362,46;6245250,17;Gaou;DPC;Rue du Gaou;Rond-Point;Impasse parcelle AT312;2003/145;18/12/2003;80 m;
987079,78;6245572,7;Général De Gaulle;Publique;Rue du Général De Gaulle;Rue Edgar Quinet;Rue Jean Jaurès;;;93 m;
987255,71;6245792,45;Peyron;Privée;Rue du Peyron;Rue Carnot;Avenue des Mûriers;;;131 m;
986968,72;6245744,34;Piquet;Publique;Rue du Piquet;Rue Nationale;Rue de l'Horloge;99/076;17/06/1999;49 m;
987230,58;6245382,75;Rialet;Publique;Rue du Rialet;Boulevars Louis Blanc;Avenue Sisgismond Coulet;;;92 m;
987397,65;6245485,71;Stade;Publique;Rue du Stade;Avenue Georges Clémenceau;Impasse;;;136 m;
